nro	anio	mes	dia	Azul	BahiaBlanca	'Bella Vista'	'Buenos Aires'	'Caseros'	'Ceres'	'Concordia'	'Cordoba'	'Corrientes'	'Formosa'	'Gral Pico'	'Gualeguaychu'	'Junin'	'La Plata'	'Laboulaye'	'Marcos Juarez'	'Mar del Plata'	'Parana'	'Paso de los Libres'	'Pehuajo'	'Pergamino'	'Posadas'	'Reconquista'	'Rio Cuarto'	'Rosario'	'San Luis'	'Sauce Viejo'	'Santa Rosa'	'Tandil'	'Tres Arroyos'
89	1970	3	30	0	0	12.4	0	1.2	4.3	0	0	1.2	18.9	0	0	0	0	0	3.8	0	4.8	0	0	0	17.2	14.5	0	0	0	10.1	0	0	0
90	1970	3	31	13.5	1	0	22.9	0	0	0	0	0.7	10.7	15.7	0	20.4	28.1	14.2	21.2	15.8	5.1	0	29.9	17.9	0	0	0	29.5	3.2	0	25.5	18	5.9
91	1970	4	1	0	0	0	2.2	82.8	1	15.5	1	26.1	11.1	0	16.1	0	6.4	0	0.6	0	28.5	0	0	0.3	0	15.7	0	10.7	2	71.5	0	0	0
92	1970	4	2	0	3.7	10.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0	0	0
93	1970	4	3	8.1	0	0	0.1	0	0	0	0	0	0	0	0	8	0.5	1.8	5	0.8	0	0	1.5	20	0.2	0	1.5	6.8	0	0	0	6	12.9
94	1970	4	4	0	0	0	0	0	0	0	0	2.6	0	0	1.7	0	0.1	0	0	0	3.3	0	0	0	0	0	0	2	0	-999	0	0	0
95	1970	4	5	0	0	0	0	0	0	0	0	0	0	-999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.5	0	0
96	1970	4	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
97	1970	4	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
98	1970	4	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
